NaN,1.96,2.06,2.16,2.26,2.36,2.46,2.56,2.66,2.76,2.86,2.96,3.06,3.16,3.26,3.36,3.46,3.56,3.66,3.76,3.86,3.96,4.06,4.16,4.26,4.36,4.46,4.56,4.66,4.76,4.86,4.96,5.06,5.16,5.26,5.36,5.46,5.56,5.66,5.76,5.86,5.87,5.96,6.06,6.16,6.26,6.36,6.46,6.56,6.66,6.76,6.86,6.96,7.06,7.56,8.06,8.56,9.06,9.56,10.06,10.56,11.06,11.56,12.06,12.56
-3.2,1.1439,1.1439,1.1439,1.1439,1.1439,1.1439,1.1431,1.1431,1.1439,1.1439,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1431,1.1318,1.1204,1.1088,1.0973,1.0852,1.0732,1.0596,1.0455,1.0322,1.0183,0.95219,0.88743,0.78508,0.67568,0.58724,0.52134,0.47032,0.42968,0.39579,0.3668,0.34085
-3,1.129,1.129,1.129,1.129,1.129,1.129,1.1281,1.1281,1.129,1.129,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1281,1.1174,1.1065,1.0959,1.0853,1.0742,1.0632,1.0504,1.037,1.0243,1.0107,0.94654,0.88494,0.78875,0.68085,0.59201,0.52461,0.47198,0.43058,0.39638,0.36717,0.34121
-2.8,1.114,1.114,1.114,1.114,1.114,1.114,1.1132,1.1132,1.114,1.114,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1132,1.1028,1.0925,1.083,1.0735,1.0632,1.0529,1.0409,1.0284,1.0163,1.0031,0.94074,0.88027,0.7991,0.6856,0.59666,0.52828,0.474,0.43164,0.39702,0.36763,0.34156
-2.6,1.099,1.099,1.099,1.099,1.099,1.099,1.0983,1.0983,1.099,1.099,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0983,1.0883,1.0784,1.0695,1.0606,1.0514,1.0421,1.0312,1.0196,1.0082,0.99546,0.93485,0.87599,0.79812,0.68999,0.60112,0.5322,0.47641,0.43301,0.39788,0.36824,0.34195
-2.4,1.084,1.084,1.084,1.084,1.084,1.084,1.0832,1.0832,1.084,1.084,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0832,1.0737,1.0643,1.0558,1.0473,1.0391,1.0308,1.0209,1.0104,0.99986,0.98775,0.92889,0.87158,0.79686,0.694,0.6055,0.53585,0.47898,0.43442,0.39863,0.36892,0.34235
-2.2,1.0691,1.0691,1.0691,1.0691,1.0691,1.0691,1.0684,1.0684,1.0691,1.0691,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0684,1.0592,1.05,1.042,1.0339,1.0263,1.0187,1.01,1.0008,0.99126,0.9799,0.92287,0.86702,0.7952,0.69749,0.6097,0.53981,0.48184,0.436,0.39949,0.36971,0.3428
-2,1.0545,1.0545,1.0545,1.0545,1.0545,1.0545,1.0538,1.0538,1.0545,1.0545,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0538,1.0449,1.036,1.0281,1.0203,1.0133,1.0063,0.99866,0.9908,0.98231,0.97181,0.91682,0.86345,0.79341,0.70048,0.61364,0.5437,0.48491,0.43784,0.40048,0.37046,0.34323
-1.8,1.0403,1.0403,1.0403,1.0403,1.0403,1.0403,1.0396,1.0396,1.0403,1.0403,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0396,1.0309,1.0223,1.0145,1.0068,1.0002,0.99348,0.9869,0.98035,0.97293,0.9633,0.9108,0.85878,0.79149,0.70294,0.61725,0.54744,0.48831,0.44011,0.40168,0.37108,0.34363
-1.6,1.0264,1.0264,1.0264,1.0264,1.0264,1.0264,1.0258,1.0258,1.0264,1.0264,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0174,1.0091,1.0014,0.99374,0.98742,0.98109,0.97506,0.96914,0.96256,0.95418,0.90478,0.85395,0.78919,0.70474,0.62055,0.55103,0.49149,0.4424,0.40319,0.3721,0.34424
-1.4,1.0127,1.0127,1.0127,1.0127,1.0127,1.0127,1.0122,1.0122,1.0127,1.0127,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0122,1.0042,0.99618,0.98873,0.98128,0.97498,0.96867,0.96282,0.95715,0.95131,0.94445,0.89869,0.84902,0.78714,0.70649,0.62358,0.55444,0.49477,0.44495,0.40478,0.37278,0.3448
